sales_id,date,bar_id,beer_id,volume_liters,spoil_volume_liters,transport_temp_c,revenue_eur,cost_eur
1,2025-01-01,24,3,97.1,29.6,9.4,438.75,203.91
2,2025-01-01,19,1,23.2,0.0,1.9,104.4,27.84
3,2025-01-01,7,2,55.6,12.7,9.4,205.92,77.84
4,2025-01-01,27,4,95.8,0.0,5.9,555.64,182.02
5,2025-01-01,22,4,66.8,0.0,6.3,387.44,126.92
6,2025-01-01,19,4,86.1,0.0,5.8,499.38,163.59
7,2025-01-01,8,2,91.3,0.0,10.5,438.24,127.82
8,2025-01-01,29,6,59.0,0.0,5.1,295.0,88.5
9,2025-01-01,12,1,97.3,0.0,5.6,437.85,116.76
10,2025-01-01,13,3,87.6,0.0,7.1,569.4,183.96
11,2025-01-01,29,5,31.5,0.0,4.8,220.5,72.45
12,2025-01-01,21,5,75.0,0.0,4.8,525.0,172.5
13,2025-01-01,14,1,59.7,0.0,6.0,268.65,71.64
14,2025-01-01,28,1,37.4,0.0,5.4,168.3,44.88
15,2025-01-01,24,2,34.1,0.0,5.6,163.68,47.74
16,2025-01-01,18,1,22.2,0.0,8.7,99.9,26.64
17,2025-01-01,3,4,40.1,0.0,6.0,232.58,76.19
18,2025-01-01,30,5,29.0,0.0,8.8,203.0,66.7
19,2025-01-02,10,5,86.1,0.0,5.1,602.7,198.03
20,2025-01-02,2,3,89.6,0.0,10.6,582.4,188.16
21,2025-01-02,3,6,95.8,0.0,3.6,479.0,143.7
22,2025-01-02,3,2,85.0,0.0,5.3,408.0,119.0
23,2025-01-02,27,1,31.5,0.0,6.0,141.75,37.8
24,2025-01-02,20,4,35.7,0.0,10.1,207.06,67.83
25,2025-01-02,15,5,48.3,0.0,7.2,338.1,111.09
26,2025-01-02,11,3,37.4,10.2,11.2,176.8,78.54
27,2025-01-02,25,3,33.9,0.0,6.2,220.35,71.19
28,2025-01-02,30,5,53.5,0.0,4.6,374.5,123.05
29,2025-01-02,4,2,70.8,0.0,5.0,339.84,99.12
30,2025-01-02,28,3,31.5,3.3,8.3,183.3,66.15
31,2025-01-02,2,1,24.2,0.0,5.3,108.9,29.04
32,2025-01-02,21,4,34.5,0.0,6.3,200.1,65.55
33,2025-01-02,8,5,28.0,0.0,4.9,196.0,64.4
34,2025-01-02,7,1,49.5,0.0,6.0,222.75,59.4
35,2025-01-02,11,4,41.9,0.0,6.6,243.02,79.61
36,2025-01-02,8,4,66.8,0.0,5.9,387.44,126.92
37,2025-01-02,6,5,38.7,0.0,2.8,270.9,89.01
38,2025-01-02,22,5,46.7,0.0,7.7,326.9,107.41
39,2025-01-02,19,4,56.6,0.0,4.2,328.28,107.54
40,2025-01-02,19,6,93.2,0.0,7.6,466.0,139.8
41,2025-01-02,6,1,84.1,0.0,0.6,378.45,100.92
42,2025-01-02,15,6,49.8,0.0,4.7,249.0,74.7
43,2025-01-02,22,2,21.3,0.0,4.2,102.24,29.82
44,2025-01-02,21,6,81.8,0.0,5.4,409.0,122.7
45,2025-01-02,2,3,93.6,0.0,6.2,608.4,196.56
46,2025-01-02,24,6,47.3,0.0,3.8,236.5,70.95
47,2025-01-02,20,4,31.4,0.0,7.3,182.12,59.66
48,2025-01-02,13,6,73.7,0.0,5.7,368.5,110.55
49,2025-01-02,24,2,60.7,0.0,8.0,291.36,84.98
50,2025-01-02,26,5,25.2,0.0,3.9,176.4,57.96
51,2025-01-02,2,5,91.4,0.0,6.2,639.8,210.22
52,2025-01-03,9,1,23.8,0.0,10.4,107.1,28.56
53,2025-01-03,21,2,26.0,0.0,9.9,124.8,36.4
54,2025-01-03,9,4,74.8,0.0,8.7,433.84,142.12
55,2025-01-03,22,6,35.6,0.0,7.6,178.0,53.4
56,2025-01-03,29,3,36.5,0.0,6.0,237.25,76.65
57,2025-01-03,20,4,94.1,0.0,8.0,545.78,178.79
58,2025-01-03,20,1,42.7,0.0,3.1,192.15,51.24
59,2025-01-03,26,3,60.1,0.0,1.2,390.65,126.21
60,2025-01-03,23,6,94.9,0.0,4.1,474.5,142.35
61,2025-01-03,25,5,94.4,0.0,11.6,660.8,217.12
62,2025-01-03,1,3,30.8,0.0,3.8,200.2,64.68
63,2025-01-03,13,4,21.4,0.0,13.1,124.12,40.66
64,2025-01-03,24,6,72.9,0.0,10.1,364.5,109.35
65,2025-01-03,13,6,56.8,0.0,3.5,284.0,85.2
66,2025-01-03,11,4,65.8,0.0,4.9,381.64,125.02
67,2025-01-03,1,2,54.1,0.0,11.4,259.68,75.74
68,2025-01-03,8,6,54.7,0.0,8.9,273.5,82.05
69,2025-01-03,19,5,61.4,0.0,7.9,429.8,141.22
70,2025-01-03,8,3,21.6,0.0,4.9,140.4,45.36
71,2025-01-03,28,5,76.3,0.0,6.2,534.1,175.49
72,2025-01-03,7,6,25.6,0.0,4.0,128.0,38.4
73,2025-01-03,29,6,45.4,0.0,6.0,227.0,68.1
74,2025-01-03,14,3,97.5,0.0,10.0,633.75,204.75
75,2025-01-03,16,1,88.4,0.0,4.6,397.8,106.08
76,2025-01-03,23,5,89.3,0.0,8.8,625.1,205.39
77,2025-01-03,7,6,99.7,0.0,7.5,498.5,149.55
78,2025-01-03,13,4,34.6,0.0,2.1,200.68,65.74
79,2025-01-03,21,5,87.1,0.0,2.8,609.7,200.33
80,2025-01-03,6,1,66.7,0.0,8.2,300.15,80.04
81,2025-01-03,24,4,81.6,0.0,5.2,473.28,155.04
82,2025-01-03,7,6,38.2,0.0,7.4,191.0,57.3
83,2025-01-04,19,3,59.3,0.0,9.8,385.45,124.53
84,2025-01-04,22,4,81.2,0.0,5.1,470.96,154.28
85,2025-01-04,27,2,40.3,0.0,8.5,193.44,56.42
86,2025-01-04,24,1,64.4,0.0,4.6,289.8,77.28
87,2025-01-04,15,2,81.7,0.0,3.7,392.16,114.38
88,2025-01-04,27,3,56.4,0.0,6.7,366.6,118.44
89,2025-01-04,22,4,26.3,0.0,-0.1,152.54,49.97
90,2025-01-04,13,4,70.1,0.0,7.7,406.58,133.19
91,2025-01-04,28,1,49.4,0.0,5.2,222.3,59.28
92,2025-01-04,11,4,74.2,0.0,4.4,430.36,140.98
93,2025-01-04,18,6,59.8,0.0,5.6,299.0,89.7
94,2025-01-04,23,6,53.2,0.0,8.7,266.0,79.8
95,2025-01-04,6,6,29.5,0.0,6.0,147.5,44.25
96,2025-01-04,23,3,60.6,0.0,2.1,393.9,127.26
97,2025-01-04,30,6,62.8,0.0,3.9,314.0,94.2
98,2025-01-04,24,6,39.6,0.0,10.4,198.0,59.4
99,2025-01-04,21,2,64.6,0.0,5.7,310.08,90.44
100,2025-01-04,3,5,73.7,0.0,4.9,515.9,169.51
101,2025-01-04,12,4,69.7,0.0,7.3,404.26,132.43
102,2025-01-04,2,2,22.7,0.0,10.2,108.96,31.78
103,2025-01-04,5,5,90.0,0.0,7.8,630.0,207.0
104,2025-01-04,14,3,27.0,0.0,12.9,175.5,56.7
105,2025-01-04,14,2,52.0,0.0,6.0,249.6,72.8
106,2025-01-04,14,5,38.4,0.0,9.0,268.8,88.32
107,2025-01-04,15,5,75.3,0.0,8.4,527.1,173.19
108,2025-01-04,21,1,35.9,10.3,5.2,115.2,43.08
109,2025-01-04,5,1,91.0,0.0,4.8,409.5,109.2
110,2025-01-04,5,2,63.0,0.0,2.7,302.4,88.2
111,2025-01-04,14,2,55.6,0.0,5.2,266.88,77.84
112,2025-01-04,27,6,22.5,0.0,4.0,112.5,33.75
113,2025-01-04,20,1,72.8,0.0,7.0,327.6,87.36
114,2025-01-04,21,6,56.5,0.0,4.0,282.5,84.75
115,2025-01-04,27,5,91.0,0.0,6.7,637.0,209.3
116,2025-01-04,18,5,54.8,0.0,4.9,383.6,126.04
117,2025-01-04,24,5,45.6,0.0,5.6,319.2,104.88
118,2025-01-04,5,6,83.5,0.0,8.0,417.5,125.25
119,2025-01-04,21,4,44.3,0.0,5.4,256.94,84.17
120,2025-01-04,12,4,58.9,0.0,7.4,341.62,111.91
121,2025-01-04,4,3,80.6,0.0,10.3,523.9,169.26
122,2025-01-04,11,4,39.9,0.0,7.9,231.42,75.81
123,2025-01-04,11,5,83.8,0.0,8.7,586.6,192.74
124,2025-01-04,22,3,34.3,0.0,5.4,222.95,72.03
125,2025-01-04,15,5,30.0,0.0,9.6,210.0,69.0
126,2025-01-05,27,4,65.3,0.0,7.2,378.74,124.07
127,2025-01-05,20,5,57.6,16.6,5.0,287.0,132.48
128,2025-01-05,6,3,59.3,0.0,8.5,385.45,124.53
129,2025-01-05,3,6,20.1,0.0,0.7,100.5,30.15
130,2025-01-05,2,1,73.5,0.0,6.8,330.75,88.2
131,2025-01-05,5,6,46.4,0.0,8.1,232.0,69.6
132,2025-01-05,2,2,38.5,0.0,4.4,184.8,53.9
133,2025-01-05,25,3,72.1,0.0,8.5,468.65,151.41
134,2025-01-05,2,3,63.3,0.0,8.8,411.45,132.93
135,2025-01-05,2,6,72.5,0.0,5.9,362.5,108.75
136,2025-01-05,19,6,82.1,0.0,8.6,410.5,123.15
137,2025-01-05,19,1,28.5,8.0,9.0,92.25,34.2
